# Created by Octave 3.8.1, Thu Sep 25 15:31:22 2014 CEST <tai@Parme>
# name: overhead
# type: matrix
# rows: 10
# columns: 2
 225 16.2
 375 21.2
 525 26.66666666666667
 675 28.6
 825 34.16666666666666
 975 36
 1125 40.2
 1275 44
 1425 45.8
 2025 62


