# Created by Octave 3.8.1, Mon Sep 22 13:22:45 2014 CEST <tai@Parme>
# name: energy
# type: matrix
# rows: 13
# columns: 2
 225 33.35234
 375 49.27032000000001
 525 90.84702
 675 112.63504
 825 139.7363833333333
 975 150.68458
 1125 168.342725
 1275 208.15675
 1425 266.5991666666666
 1575 275.6108333333333
 1725 289.2723333333333
 1875 298.5195000000001
 2025 314.3425


