# Created by Octave 3.8.1, Thu Sep 25 15:28:50 2014 CEST <tai@Parme>
# name: energy
# type: matrix
# rows: 13
# columns: 2
 225 16.0761
 375 29.67683333333333
 525 43.63476666666666
 675 55.55741666666666
 825 68.83733333333333
 975 79.20951666666666
 1125 93.66846666666667
 1275 104.2539833333333
 1425 116.27705
 1575 129.3485333333333
 1725 140.9278333333333
 1875 152.4651666666666
 2025 164.4843333333334


